bioguide,icpsr,last,first,state,party,chamber
W000216,9885,wayne,anthony,GA,O,House
W000352,10006,white,alexander,VA,O,House
W000551,10193,williamson,hugh,NC,O,House
W000560,10202,willis,francis,GA,O,House
E000075,2866,edwards,john,KY,O,Senate
P000473,7564,potts,richard,MD,O,Senate
A000280,231,armstrong,james,PA,O,House
B000282,554,beatty,john,NJ,O,House
B000661,878,boudinot,elias,NJ,O,House
B000671,886,bourne,shearjashub,MA,O,House
B000739,951,bradford,william,RI,O,Senate
C000012,1387,cadwalader,lambert,NJ,O,House
C000163,1518,carnes,thomas,GA,O,House
C000418,1750,clark,abraham,NJ,O,House
C000545,1865,cobb,david,MA,O,House
C000591,1906,coffin,peleg,MA,O,House
D000157,2432,dawson,william,NC,O,House
E000060,2859,edwards,benjamin,MD,O,House
F000178,3196,fitzsimons,thomas,PA,O,House
F000282,3285,forrest,uriah,MD,O,House
F000368,3361,frelinghuysen,frederick,NJ,O,Senate
G000211,3607,gillon,alexander,SC,O,House
G000311,3695,gordon,james,NY,O,House
G000466,3825,griffin,samuel,VA,O,House
H000750,4546,holten,samuel,MA,O,House
I000035,4820,irvine,william,PA,O,House
L000178,5543,learned,amasa,CT,O,House
L000200,5564,lee,richard,VA,O,House
M000166,6012,martin,alexander,NC,R,Senate
M000424,6230,mcdowell,joseph,NC,O,House
M000622,6401,mebane,alexander,NC,O,House
M000645,6418,mercer,john,MD,O,House
M000828,6574,mitchell,stephen,CT,O,Senate
M000873,6608,montgomery,william,PA,O,House
N000055,6883,neville,joseph,VA,O,House
N000109,6932,niles,nathaniel,VT,O,House
P000320,7425,pickens,andrew,SC,O,House
S000186,8312,scott,thomas,PA,O,House
S001009,9028,strong,caleb,MA,O,Senate
T000019,9161,talbot,silas,NY,O,House
T000361,9463,tredwell,thomas,NY,O,House
V000039,9615,van gaasbeck,peter,NY,O,House
V000104,9676,vining,john,DE,O,Senate
W000013,9706,wadsworth,jeremiah,CT,O,House
W000051,9739,walker,francis,VA,O,House
W000127,9808,ward,artemas,MA,O,House
W000211,9881,watts,john,NY,O,House
W000491,10136,williams,benjamin,NC,O,House
W000633,10272,wingate,paine,NH,O,House
T000107,9238,tazewell,henry,VA,R,Senate
W000114,9796,walton,george,GA,O,Senate
A000174,154,ames,fisher,MA,O,House
B000474,719,bingham,william,PA,O,Senate
B000563,800,bloodworth,timothy,NC,R,Senate
B000669,884,bourne,benjamin,RI,O,House
B001014,1195,buck,daniel,VT,O,House
C000624,1936,coles,isaac,VA,R,House
C000848,2125,crabb,jeremiah,MD,O,House
D000178,2451,dearborn,henry,MA,R,House
D000578,2796,duvall,gabriel,MD,R,House
E000010,2816,earle,samuel,SC,R,House
